ID,Story,RaterMean
31,"There once was a little girl who wanted to send a special letter to Santa. She wrote the letter diligently and put all of her greatest wishes for Christmas into the letter. However, she couldn't find a stamp anywhere; there was not one to be found anywhere in the house. In a bit of panic, she drew a picture of a stamp on the envelope since she didn't have one to put on the envelope. When the mailman saw the envelope didn't have a stamp, he threw the letter in the trash.",3.5
32,"I've finally got my first pen-pal and am super excited! The first thing I did was go to a office supply shop, buy a cute envelope, stamp, and pen to write my first letter. I took a lot of time figuring out what to write and came up with a bit about myself, fun things I did that day, and stickers of course. I signed it, sealed it, and sent it off. While nervous about this being my first time sending a letter to my pen-pal, I'm excited to have a new friend!",2.75
33,I once bought a stamp cause I wanted to send a letter to my sister who was living far away from me. I bought it and put it on the letter and also included a gift on the letter.,1.5
34,"We biked to the post office as fast as we could.  We had no stamps, we had nothing to send.  We were on a mission to intercept a letter which could never be received.  As we rounded the corner, we saw it: a red Ford pickup truck, engine running, no passenger inside.  Were we too late?  We hid our bikes behind the corner store and crept up on foot.  To our great relief, we saw her there.  She had not entered the post office, but only the tobacco parlor next door.  The post office would be next.  Peering through the window of the truck, I saw it.  A letter addressed to Jane M. Jones;   My mother.",5
35,"Today was their first day at the post office. They had a vast stamp collection, had read the rules to the letter, and had passed the test. It was going to be exciting helping people send gifts and letters to loved ones. And perhaps defeating every time an envelope with large red letters happened upon their route. But they knew it was worth it to fulfill a childhood dream to become a postperson.",3.25
36,I wish to send a letter to my niece to asking about studies. For this I posted it. But I forgot to paste the stamp on the envelope. Then I pasted a stamp and put it in the post box.,1.5
37,"He checked the spelling of the address on the envelope of the letter five times before leaving for the post office. He had even double checked that the stamp was proper and set. This would be the first time he had spoken to his ex-wife in ten years, just to reach out and wish her well, maybe hoping for something more. His heart raced as he drove to the office to send it off. If she didn't respond, he would get over it, but a larger part of him wanted to believe there was still something there, something between them.",4.25
38,"It was nearing Christmas time and the little girl wanted to send Santa a letter filled with her wishes.  She couldn't find a stamp to put on her letter.  So she drew a stamp on the letter.  Christmas day came and she was surprised to see that her wishes had come true.  ""Mommy, my hand drawn stamp got to Santa!!"" exclaimed the girl.  The mother replied that your dreams come true if you believe.",3.5
39,"Last morning I decided to write a letter to my aunt! so I went to the post office to buy a stamp. I sculpted all my feeling in that letter and went to the post office to send the letter. After the submission of the letter, I felt very satisfied and happy!",1.75
40,"William had to send a thank-you note to his grandmother living in Seattle but had never sent a letter before. He always communicated through text messages, emails and social media. William Goggled ""how to mail a letter"" and followed the instructions step-by-step. First, he found a piece of paper and wrote the thank-you note. Next, he folded the paper and placed it in an envelope then sealed it. Finally, he asked his mother for a stamp and placed it on the envelope so he could mail it.",3.25
41,A person decided to write a letter for his lover. He decided to send that through mail on her birthday. As per plan he executed it and sent the letter by pasting a stamp on it. His lover excited after receiving it.,1.75
42,"The boy remembered he had to send a Christmas letter to his friend. Unfortunately, he did not have a stamp anywhere. It was a Sunday and all the post offices were closed. He decided he would do it on Monday. The boy lifted up his spirits and continued about his day. He forgot all about the letter and never delivered one to his friend after all.",2.5
43,Ryan reached the age of Twenty on 20/11/2019. So he decided to celebrate his birthday. He liked to invite my friends to celebrate it. So I Bought a letter from a store. I wrote all the details. Then I paste the stamp on it. Finally I send the letter to my friends. Most of my friend attended the party. I was so happy.,2.5
44,The stamp on the letter had ripped off the envelope. The letter was wet with rain and he complained to the post office. He had doubts he would ever send anything through the post office again. It was a huge disappointment.,2.25
45,"Jacob wrote a letter to his girlfriend she is in Paris with all love he wrote a beautiful romantic letter and send it through the mail , but he forgot to paste a stamp on the letter so he decide to wait for the mailman to open the mailbox and ask him how to paste the stamp on the letter",2.25
46,"The little old lady's frail hands shook. It was very hard for her to carefully place the stamp on the corner of the small white envelope. She had been so excited when she received the letter from her granddaughter. She couldn't wait for the postman to come so she could send this letter back to her. It had been years since she had seen her granddaughter, and she was almost grown now.",3
47,"Meanwhile, I've talked to my attorney. I have to send him a signed letter stating my intentions. All I need now is a stamp and I'm on the road to freedom! In my spare time now, that is, between making dinners every night (LOL), I'm making plans for my new life. I'll probably go back home after the divorce is finalized, find a job, and get on with my life. I know God will watch over me and will help me",4
48,John quickly stamp the wooden cover with a smile from his home made device. He runs to the door and opens it. Standing in front of him is his uncle with a smile on his face. John looks and there is a letter in his uncle's hand. He greets and runs out of the house. It is too late. The horse carrier has already taken off. He needs to send the wooden crate today or else his grandpa will not receive the gift on time. What can he do to resolve this or else it will be too late.,3
49,"He walked to the counter greeting the customer who was waiting to send out a letter. Picking up the letter, he grabbed a stamp and placed it in the corner, telling the customer how much, he took the money into the register and gave the correct change. Telling the customer to have a nice day, he grabbed the letter and placed it in the out box.",2.25
50,John wanted to send a letter to his grandpa who lived overseas. He wrote the letter out and included a recent photo that he printed from his computer. He put the letter and photo in an envelope and drove to the post office. He bought some stamps and mailed the letter while he was there. He was excited to see his grandpa's response.,2.25
51,"One day, a woman had a letter sitting on her desk ready to send.  She was about to leave for the post office to mail it when she realized that she didn't have a stamp.  She began searching all around the house for a stamp, but was unable to find one.  Suddenly, her dog appeared by her side and was nudging her with his nose.  When she looked down, she saw that he was holding a stamp in his mouth, and he had even licked it for her.",4.25
52,"A man had an intense crush on his best female friend but didn't know how to tell her. He decided that he was going to go to the post office, get a stamp, write her a later, and then send it to her. All went well until the man put the letter in the envelope and was driving to go put it in the mailbox when suddenly the envelope blew out the window. He then decided not to rewrite the letter and just left the situation alone.",3.5
53,"It was time to send the application letter. He has been studying, taking extra credit hours, and even missing social gathering for this very moment. He stared at the envelope, inside it his application letter to Graduate School. He excitedly mailed it out. A few days later, he checked the mail, a response already? No, he forgot to put a stamp on the letter. He had a 4.0 GPA but even the best of us forget to stamp our letters.",3.75
54,In recent days people are forgeting the letter and stamp method to send the letter to his family and others.Because of the digital world that forget the concept of the letter and stamp method. But it ws the memorable one for the lot of od people and also it make different feel for early people.,1.5
55,"Was I finally ready to move on from this? I had the letter sitting on the table, the stamp right next to it. All I had to do was stick it to the letter and send it in the mail. My 25 year marriage was coming down to this, but I determined to do it for our children. It was the only thing I could do right in the last 25 years.",3.75
56,"There was a time i stamp a letter and i had to send it to my office department, i did this at the late hour of the night. That night i was very tired and sleepy, so i used a very bad stamp on the letter. After some few weeks, the office told me to report and i was asked why i use  bad and wrong stamp to address the department. i felt so ashamed of myself and i had to send another letter with a good stamp and apology.",2.25
57,"He placed a stamp on the letter he had just written. He sat there frozen. He didn't know if he could build up the courage to actually send it. He told himself the letter wouldn't actually change anything. That it was pointless. After a minute or so, he stood up and headed outside towards the mailbox.",2.5
58,"I was interested in communicating with others through writing, so I advertised for pen pals in a newsletter. I received a reply, and I decided to write them a letter. I wrote a 5-page introductory letter to my new pen pal from Sweden. I addressed it and put it in an envelope. I put a stamp on the envelope, I then went to the post office to send the letter.",2.75
59,I try to write to others who live out of town quite regularly. I feel that sending an email is so impersonal. I get out a pad of paper and write them a letter by hand. It's kind of hassle going to the Post Office to send it and having a stamp to put on it. But I feel others recognize the effort I go to and appreciate it.,2.25
60,"The mother looked at her young daughter. ""So, you want a stamp...to send a letter...to the...boogeyman?"", she asked. The young girl nodded emphatically. ""Yes,"" she said, ""I think he is the boogeyman because he is lonely and scared and I want to let him know we are nice people and can be friends"". The mother smiled at her daughter, and said ""But if the boogeyman is your friend who will punish little kids for not eating their vegetables?"" The girl smiled, ""Yes. Exactly.""",4.75
61,"The stamp had a pink heart on it. She took it off the sticker pad and pressed it down onto the envelope. The letter she had written was to her father, who had been away at war for nearly a decade. She was going to tell him that she didn't want to be in contact with him any longer, but she couldn't bring herself to send it. She left it by the side of the dresser. The next morning, her husband saw it and took it to the mailbox, not knowing she had decided against sending it.",4.5
62,She missed her grandma since she had moved to another state. It was really hard to be away from her. One day she got a package and she could not stop smiling. Her grandma sent her a brand new pen with a note asking Sally to send a letter once in a while and she included one stamp for each month of the year in hopes she would hear from Sally every so often.,3
63,"The war had taken a toll on all the soldiers. Gun fire was coming in from all sides and Matt didn't know how much longer they were going to be able to hold out. Luckily for him, he made sure to buy stamps before it all began so he could write to his beloved Mary. That night, amongst the gunfire, he wrote a letter to her, put a stamp on in and asked his best friend Danny, to send it for him in case he didn't make it. He woke up the next morning, to take his shift along the front lines and then a miracle happened. Reinforcements arrived and they were able to push forward and take the city. Months later he took the stamp off and hand delivered the letter himself.",4.75
64,"I had been sitting on that nightstand for more hours than I could remember. I did not know the right words to write on the letter. I did not know how to tell my son that his father was not going to come back. How would I live with myself after the letter was sent? Knowing that he could be opening the letter any second. But still, I put the stamp on the lettter and went off to send it. Praying that my legs would not give up on me.",4.5
65,"It was a letter she didn't want to send. She put the stamp on it, and held it in her hands, taking a moment to consider if this was what she really wanted to do. To send it would mean an end to the affair. She wasn't sure she wanted an end. She wondered if she would ever be sure. Looking at it, the letter stared back at her.",3.5
66,"He gazed at the picture the same way he did everyday he passed it.  The one that got away, the love of his life.  He's been keeping tabs on her from afar, checking in with her friends to see if she's single, etc.  He finally found out she's available, this is his chance.  He had so much to say to her, it was his fault she didn't know how he felt the first time.  He took out a stamp, paper, pen, and envelop and poured out his heart.  He took the letter and put it in the mail to send.  He can only wait to see how she took it.",4.25
67,"The girl anxiously awaited the postman.  It had been two weeks since the last letter from her penpal.  It isn't common these days to have a penpal, but the young child loved receiving mail.  He had arrived! She eagerly thumbed through the mail, checking the postmarks on the stamps.  Finally, it was here! She was hoping to send her letter after reading it.  It was all she had hoped for.",3
68,"I decided recently to write my kids each a letter.  I started with my younger daughter, since I had recently visited her.  I got the letter written, but then I couldn't find a stamp to send it!  I searched high and low, and finally found a stamp in a seldom used drawer.  I got the letter sent, and started on the next letter.",2
69,"I moved to a new state the other day. I had to change my address with the post office. I filled out the application, placed it in an envelope, and added a letter for clarification. Then I put a first-class stamp on the top left corner. I made sure to send it in person.",2
70,"My son wanted to send a letter to a friend from school who recently went overseas. He is only 7 years old so I sat down with him to help organize his thoughts and properly write a letter filled with love. I asked about what things he likes about the friend, but he simply said, ""Nothing really."" After that, I just had him write anything and let him pick the stamp to send the letter with.",3
71,"Jen didn't know what to do. Write that letter, open her heart to Jack, and risk a rejection, or maybe start a beautiful path together? Was her love corresponded? She thought for days about it, the letter already written, and at some point she just decided to take that jump, and to send that damn/blessed letter. She went to the postal office, bought a stamp, and after kissing the letter goodbye, she gave it to the employee, whose sympathetic smile gave her some hope that things might have turned well.",4
72,When people send something in the mail they don't think about the magical journey it will go on. A simple letter with a stamp can travel across the earth. A letter can go from continent to continent. It travels across the sea by plane or ship. Letters go on quite the adventure.,3
73,"It was a dark and stormy night. There was only one thing on the man's mind: to send a letter that was enclosed with a check for his bills. However, there was a problem. He needed to get a stamp for the letter! He went to a nearby store and got the only stamps they had left, which was a stamp featuring a cute doggie on it. On his way to the nearby mail drop box, his car ran out of gas and his quest was never completed.",3.5
74,"I wanted to send a message to the crazy expectations that one of the people in my office have.  They had been pushing the envelope for months in hopes of getting a big raise, large bonus and a promotion.  He thought because he uncle worked for the company everything would be handed to him on a silver platter.  His attitude had become too much and I was going to stop it in its tracks.  Not only did he not get a raise, promotion or bonus - I put a formal letter of complaint in his file.",3.75
75,A person sent a letter to his wife. He was eagerly expecting a reply from her. But the letter returned as there was no stamp in it. He became depressed about the incident and sent the letter again with a stamp on it.,2.25
76,He searched the drawer for a stamp. Nothing. There wasn't one there. He had an important letter in his hand practically naked. He needed to put it in the mailbox before the mail carrier arrived. Where was that stamp?,2
77,"it's been weeks. my search never seems to succeed. I fret each time I think about it. the situation is comical, yet critical. you see, 6 months ago, the world stopped producing stamps permanently. and I know, for certain, that I held the last stamp in the world, lost amongst my belongings. the need to send the last letter to the other last person on earth never stops eating at me. it begs the question: why do I need a stamp anyways?",4.75
78,"We held a meeting on how we can get the proposal stamped, i was given the letter to draft and send to the headquarter for approval.",1.75
79,"Jimmy was excited for Christmas. It was only the start of November, but he already knew what he wanted to write in his letter to Santa.   He decided with the mail being slow in 2020, it might be better to send the letter now.  So, he carefully wrote down everything he wanted, pointed out how good was at wearing his mask this year and put a stamp on the letter.  Now the real waiting starts.",3.75
80,"The mail man received the letter and noticed something was missing. He handed it back and explained how a newer version of the stamps are required. Without this, it cannot be send and it will be lost in transit. The person decided to buy more stamps on the spot.",2.25
81,"""Send it, send it! You must expose the lies!"" I stall, unsure of what to do, as I clutch the letter between my fingers. The information would not only ruin the mayor but demoralize our people. I put it up to my eyes, and I see our official seal on the fresh stamp. But I simply cannot do it-- I cast the letter into the fire, preventing a single soul to bear witness to what we just exposed.",4.5
82,Derek placed the stamp on the letter and set it on the table. He took two steps back and contemplated what it would mean to send this letter. The information inside was scandalous to be sure but had the potential to improve many lives. He once again found himself contemplating the ramifications of exposing this information. He picked up the letter and headed to the post box. Let the walls come crashing down. He was ready for the shakeup.,3.75
83,I spent an hour writing a letter to my sister. I'm going to send it to her when I go out later. First I need to get a stamp from the post office. I hope they're open late because I have a lot to do today. I'm waiting for it to stop raining before I leave home.,2
84,"I need to mail an important letter to my friend overseas. She asks about me often but I want to go the old school route and send it by postal. All I need to do is put a stamp on it and then deliver it to the post office. Hopefully, it gets to her in time.",1.75
85,"Josie took the letter, sealed it with a kiss on the rear, and placed it into the envelope. Never before had she predicted that she would fall in love like this. Over the days and months she found herself falling for this new penpal. What would her parents say if they knew she had fallen for someone serving a life sentence? Pushing the thought out of her mind, she closed the letter, affixed the stamp, and headed out the door to send it to her lover.",4.25
86,Angela was missing her grandmother. Her grandmother had lost her hearing so she was unable to call her. She decided to send her grandmother a letter. The letter would tell her how much she missed her and would fill her in on what was going on in her life. When the letter was finished Angela put a stamp on the envelop and put in,2.75
87,I love travelling so every time I travel I SEND some LETTER  with special STAMP to home. One of the mistakes i did was to not SEND a soecuak i,1.666666667
88,"A week ago, I wrote a letter to my uncle. I wish to send it by post. I pasted a stamp on the envelope. But the person who was in the office told me that the stamp I pasted was not appropriate for the given address. Then I pasted another stamp which was allocated to that address.",1.75
89,Who puts stamps on letters anymore? That is so old-school. I prefer to send my letter without anything in the corners. I just send them out and hope for the best.,1.75
90,"last week i was went to the post office for send the courier for my friend who was live in the California,  i was post the mail with the courier and i was forget the stamp and with the letter for my friend .i was send that with letter for my friend and make my day which was completely.",1.5
91,"Joe got out his pen and paper and began to write a letter to his friend in another kingdom. He asked about what was happening to his friend and to the country, and if the Princess had been found yet. Once he finished writing, he sealed the letter in an envelope and placed a stamp on it. Joe then proceeded to the post office to send the letter.",2.5
92,"I had received an invitation to the Queen's ball, and was so excited to send my acceptance reply in the mail. I had the letter in hand, and was getting in my car to go to the post office. Of all things the car wouldn't start! I was in a panic! I had to get a stamp on my reply and put it in the mail today or I would miss the ASAP response deadline. Nothing to do but call Uber, put on a mask, and suck it up in an enclosed car. Risking COVID to go to a ball in a small price to pay to hob nob with royalty.",4.5
93,"My Grandparents that lived in Maryland don't really use technology at all. We usually would have to send them a letter if we wanted to talk to them long distance. I once sent them a letter but almost forgot the stamp, but my Mother reminded me at the last second. They usually write back to us in a week or two. It might not be as effective as texting, but it does the job.",2.75
94,"The person went to a office to get a stamp.  The person was surprised that he/she/it/robot/etc wasn't charged for the stamps.  The person then went home and wrote a letter to send to his friend.  The person wanted to send it to his friend within three days of writing it, as the content within was important, but the person had no other way to communicate with that person.",1.5
95,Sam was thrilled that the letter had finally arrived. As she stood in front of her mailbox she ran her fingers over the cancelled stamp from California. She wanted to savor this moment for as long as she could. She was told to send her application in early to avoid being put on a waiting list. As she closed her eyes she thought about what sorts of adventures were going to begin once she opened the envelope.,3.75
96,"If you want to send a person a letter like the old days, it may seem a little odd.  You will need to write the letter and place it in an envelope.  Then, you will need to have a postage stamp to place on the envelope in order to send it.  This is an archaic process, and you may be better off sending an email.  Unless, you are sending them something tangible.",2
97,"I gently folded the letter and slipped it into the envelope. I hoped it would reach him in time. Placing a stamp on the envelope, I slipped it into my bag. I would place it in the mail on my way to work. I hoped he would receive it in good humor, and send the funds I requested before the bank took the house.",2.5
98,The boy was ready to send his first letter in the mail. He had just been taught how to write and send a letter in school. He decided to send a letter to Santa with a list of the toys he wanted from Christmas. He asked his father for a stamp to but in the letter. He licked the stamp wrote the address of the North Pole and put the letter in the mailbox. The boy hoped the letter would get to Santa safely.,2.75
99,I had a friend that lived in Europe who I hadn't communicated with for years. I didn't have a phone and they didn't own a computer so the only way I can communicate with them was by sending or writing them a letter. So I decided I would send them a letter reminding them that I was still a friend. Because the letter was being mailed to Europe it would take more than one stamp. I purchased all of the stamps that I needed and put them on the letter and mailed it out to my friend.,2.5
100,"I had to send an important letter to the mayor of the town. His life was in danger and I was the only one who could save him. I quickly reached for an envelope, I stamped the letter and then sent it to the mailman. The stamp was coded with a message and language only we knew how to decipher.",3.75
101,I used the stamp to send the letter. The stamp was of the value I needed. I will send the letter tomorrow. The post office will be open on-time,1.25
102,"Ms. Jackson sealed the letter in an envelope, placed a stamp on the upper left corner and prepared to send it to her ex-lover, now living halfway around the world. John was his name. He was living in Columbia, working in the drug trade. Word was he was a king pin now. John preferred Ms. Jackson communicated with him through mail, rather than electronically. They were less traceable this way.",4
103,"I needed to send in my tax letter for for the year, but had no stamp. So, off I go to the post office, where I had to wait in line. Of course, I had to stay 6 feet away from the next person in line, and several times I had people step in front of me. I was patient, though, and didn't make a fuss. They were obviously in more of a hurry than I.",2.25
104,The children were playing in the back yard when they discovered a box buried under the bench by the tree. When they opened the box they saw an old letter. There was a stamp on the envelope but it was never delivered. The wanted to open the letter but were afraid of what it might contain. One of the kids suggested they just send the letter in the mail since it had a stamp on it. The children decided to give the letter to their parents and let them decide what to do with it.,4.75
105,"In our childhood days, my mother used to send letter with stamp to our relatives in other countries and state. It was an good time to write our thoughts and feelings in the letter. When there was very limited telephone communication we used to send letter to our beloved ones.We were happy and fun to send letters.We used to buy  letter card with stamp fix in it.",2.25
106,"Lilah is sending her grandmother a letter in the mail for the first time. She has never sent mail to another person so her mother is teaching her today. She explained the steps very carefully. First, Lilah needs to write her letter. Second, she needs to put her letter in an envelope. Third, she needs to fill out the address that her grandmother lives at. Fourth, she needs to put a stamp in the right hand corner. Fifth, she needs to put it in the mailbox to send it off.",2.5
107,"Today, I went to the post office because I needed to buy a stamp. I have a friend who lives in Thailand who I wrote a long letter to. I want to send it as soon as I can because it takes much longer for mail to get there than if she lived in North America. I met this friend on a trip that I took to Asia many years ago and we always kept in touch. However, even with smartphones and access to email, we always have sent physical letters to one another. It is a touching tradition that we keep.",3.25
108,I love being old-fashioned about some things.  And writing a letter is one of those things.  I love the feeling of putting on a stamp and putting something in the mailbox.  So much more satisfying than typing and hitting the send button.,1.75
109,Olden days I communicate with my parents by writing letters and stamp them and send them to the post office. Those days were really a,1.333333333
110,"A little boy decided one week before Christmas he was going to send a letter to Santa Claus describing all the wonderful things he wanted that year. So he went to his mother and asked her for a pencil, paper, and an envelope so that he could craft this wonderful letter to send to Santa. After he was finishing drawing and coloring his letter he asked his mother for a stamp so that he could put it in the mail box. After getting the stamp and putting the letter in the mailbox he waited patiently staring out the window for the mailman to come get it. It was Saturday so he ended up waiting almost two whole days before the postman finally picked up the letter on Monday morning. The little boy was so ecstatic that his letter had finally been sent off and it'd be going to Santa Claus. Christmas came and he got everything he asked for in his letter, he was a lucky little boy.",3
111,"It was time to cast ballets and Dan was ready to vote. This was the first year he was eligible to vote and he was ready. He filled out the ballet on letter sized paper and put it into an envelope. He sealed the envelope, making sure to include a stamp. He was now ready to send the letter.",2.25
112,"It was her grandson's birthday in a few days. He lived across the country and she wanted to send him a letter with some money for his birthday. She got the letter and money all prepared, all she needed now was a stamp. She could have sworn that she had one in the drawer, but she was unable to find one. On her next stop into town she finally bought a book of stamps and sent the letter, it was a few days late, but the grandson called her to thank her anyways.",3
113,In my office I am the letter collector and also it is my responsible to send and stamp the the letter. One day i forget to send letter on time so my boss reduce my salary and then  I realize that and send the letter very proper way and then my boss offer me to do more works on the send the letter.,3.25
114,"Gino knew that he was going to send the letter in, but wasn't sure about the consequences of doing so. Gino had known about the corruption of the local magistrate for some time, and the connections between the government and the mafia. He had carefully documented everything and was now hoping to expose them all to the world. Gino was sure there would be blow back and they would try to find out who he was, but he couldn't be afraid anymore. A friend of his had disappeared and as he licked and placed the stamp onto the letter, he knew he had to go forward in honor of their memory.",4.75
