ID,EnglishFirstLanguage,Story,Rater1,Rater2,Rater3,Rater4,Rater5,RaterMean,SemDis_CuesIn_cbowukwacsubtitle_nf_m,SemDis_CuesOUT_cbowukwacsubtitle_nf_m,WordCount
26,yes,"i wanted to write a letter to my friend in a different college. i wrote him a special note and put a stamp on the envelope. i tried to send it on friday, i forgot where i put the letter, so i wrote another one and sent it on monday. Hopefully he gets it soon",2,1,1,2,2,1.6,1.12709,1.1101,55
27,yes,The girl was day dreaming about her boyfriend she loves so deeply. She really misses him. She decided to write him a letter to surprise him. When the letter was done she had to stamp it before she could send it.,4,1,2,2,3,2.4,1.09902,1.02484,41
28,yes,"once upon a time, i had to write a letter to my grand mom. The letter was thanking her for the money i had received on christmas. i needed to find a stamp before i placed it in the mail. i was able to send off the letter the next day.",2,1,2,2,2,1.8,1.1097,0.8871,51
29,yes,"the girl put a stamp onto the love letter. she was going to send it off to her lover at war. it had been months since she had last heard a response but she never gave up hope. they were destined to be together, she just knew it. ",3,3,2,2,2,2.4,1.05804,0.96197,48
30,y,"Today I wanted to send my mom a message. So I decided to write her a letter. I put it in an envelope, addressed it, and put a stamp on it. I sent it at the post office.",1,1,1,1,1,1,0.69375,0.67235,38
31,yes,"I was very lonely away from my nana. She did not have a cellphone so I decided to send her a letter. I knew she liked letters with a kitten stamp on them, so i went out of my way to find one at CVS. I made sure it was a Ginger cat because those are her favorites. I cannot wait to send this letter to my nana. ",4,4,3,3,2,3.2,1.11677,0.89147,68
32,yes,My mother is looking to write me a letter. She needs to send it to my new college address. She needs to go and buy stamps to put one on the top of the letter.,1,1,2,1,1,1.2,0.88897,1.11049,35
33,y,"There were two pen pals who agreed to stop talking via the Internet and write hand letters. The one, named Jade, wrote a long letter to send to her pen pal, Max. After giving a detailed account of her life in England to Max, who was from Los Angeles, she put a stamp on the envelope and had it sent. Max wrote back sharing his current experiences in high school and ended up inviting Jade to his prom in May.",4,4,4,3,3,3.6,1.07665,1.00484,80
34,yes,"I want to send him a letter. I am afraid because what if he doesn't respond. Or worse, what if he finds it odd. I think I am going to do it. I need to find a stamp.",4,1,2,2,3,2.4,0.95704,1.04182,38
35,yes,The man wanted to send a letter to his wife because he is in the army. The only problem is he could not find a stamp. Eventually he found it and sent it to his wife.,2,1,2,2,2,1.8,1.00756,0.90245,36
36,y,I wrote a letter to my aunt. I went to the post office and bought a stamp. I put the stamp on the letter and gave it to the mailman to send.,1,1,1,1,1,1,0.64095,0.67325,32
37,y,"When I went to check my mailbox, I had noticed the letter I wrote my brother at school still sitting there even after the mailman came. I wondered why I wasn't able to send the letter. I brought it back inside and discovered that I had forgotten to put a stamp on it. ",1,2,3,3,4,2.6,1.10906,1.11018,53
38,yes,"My boyfriend is away at war. The only way we have been able to communicate is through letters. He promised to send me a letter everyday. Though, the last letter I received has a stamp from a month ago. ",3,1,3,2,2,2.2,0.79339,0.87517,39
39,yes,"As my letter concludes, I stamp my signature and read through the final product. Nerves won't stop me from clicking send"" this time.""",2,5,4,4,5,4,0.87444,1.046,23
40,yes,"It all started when I sent her that letter. The post office made me put my stamp on the front before I could send it to my love. After everything was taken care of there, I later received a letter make with her stamp on the front. In return of my kindness and affection, this is how she wanted to send it back. ",3,3,3,3,2,2.8,1.10815,1.11019,63
41,yes,"The grandmother was in Europe, and wanted to send a letter to her granddaughter. The granddaughter loved the color green, so the grandmother picked  out a green stamp. The letter arrived two weeks later, but the grandmother had sent it to the wrong granddaughter, who liked purple.",3,3,5,4,3,3.6,1.11026,1.11022,48
42,yes,"I am writing a letter to my brother who I have not seen in several years. I realize I don't have any stamps, so I drive to the post office. The closer I get, the more nervous I become. The last time we saw each other it was a disaster. Is it really a good idea to send this?",4,3,4,3,4,3.6,0.87479,0.87291,59
43,n,i wrote a letter and went to post office to get stamp do that I can send it to my friend,1,1,1,1,1,1,0.64644,0.92484,21
44,y,I was writing a letter to my mom. I realized I needed a stamp before I put it in the mail. I went to the post office to buy a stamp. After that I went to go send the letter in the mailbox.,1,1,1,1,1,1,1.12258,0.89418,43
45,yes,"My sister is traveling abroad in Europe and one day, I decided to visit her for a week. I travelled many hours to reach her, but I finally made it. While I was in town visiting her, I met a man. We instantly fell in love for the week I was there. But sadly, It was time for me to go back home. But to this day, every now and then I would receive a letter in the mail, with a stamp of the city from him. I would always end up sending him a letter back. ",5,4,5,3,4,4.2,1.11135,0.90464,97
46,y,"I needed to go to the post office to get a stamp in order to send my letter. the post office didn't have the stamps that I was looking for so, I had to hand deliver my letter instead of sending it in the mail.",1,1,3,1,2,1.6,0.88938,0.88887,45
47,yes,"Clarissa was very excited. Today got she received a letter in the post. She hoped with all her heart that it was from her love, Frank. He has been far away for quite some time now in the army. She wasn't expecting him to send a letter so soon. She had resigned to the thought that she wouldn't hear from him again in weeks. She bolted around her dining room in search for an envelop and a stamp so that she could write a reply the second she was done reading. Excitement flooded her as she opened it.",4,3,4,4,3,3.6,0.89129,0.88989,98
48,y,"I went to write a letter to my boyfriend. I was told to send it on friday. It never got to him, it was like snail mail. But then I was told I forgot the stamp.",2,4,2,5,2,3,0.81979,1.08195,36
49,yes,I received a letter from my soldier today. I made sure to write back. I placed a stamp on the envelope and had to send it away.,2,1,1,1,4,1.8,0.86171,1.10248,27
50,yes,"It was a week before Christmas and I had to send my letter to Santa. How would he know what to throw down my chimney if I don't send this. I licked the envelope shut and wrote the address of the North Pole. I had to run all around my house finding a stamp, but they were hiding in my dad's desk. I really hope I get my new bike.",4,2,3,5,3,3.4,1.11554,1.11184,70
51,yes,"It has been too long since I've seen my family, and I missed talking to them so much. As I walked to the post office, I was so excited for them to get this letter. I put a stamp on the envelope, and put it in the mail box to send away.",2,2,2,2,2,2,1.17261,0.90951,52
52,yes,"I havent seen my family in so long so I decided to send them a letter. After I wrote my heartfelt letter, I put it in an envelope and put a stamp on the front of it. I then sent them my message to tell them how much I miss them.",2,1,2,2,1,1.6,1.37372,1.33913,51
53,yes,"Jessica knew this letter would change her life forever, but she had to send it. It took all her might to stamp the letter. When she finally did, she dropped it into the mailbox ad walked away. She knew she would regret it, but it was the right thing to do.",4,3,3,4,4,3.6,0.88952,0.88947,51
54,yes,"One time I wanted to send a letter home to my Mom. the problem was I needed to find a stamp. It was freezing cold outside, and I didn't want to go buy a stamp at the post office. So, instead of sending my mom the letter, I took a picture of it and texted it to her.",3,4,3,3,3,3.2,0.88982,1.07373,58
55,y,"I had to send my sister a card for her birthday. I bought a nice card, wrote a very kind letter, and put it in the envelope. Then, I affixed a stamp and dropped it off at the post office. ",1,1,1,2,1,1.2,0.63034,0.74365,40
56,yes,"I needed to send a letter to my mom while I was away at college. So, after class I walked to the post office. When I got there I bought a stamp and waited in line. I handed my letter and they sent it off to my mom.",1,1,1,2,2,1.4,0.72347,0.85443,48
57,yes,"When I was in 3rd grade, we learned how to send a letter. First, we put the letter in the envelope. Then, we addressed the letter and filled out the person's name and location. Finally, we put the stamp on the corner and sent it to the post office.",2,3,2,3,1,2.2,0.88816,0.86797,49
58,y,"The young boy developed a close friendship with a pen pal from across the world. They regularly send each other letters. They even have their own stamps to match each other's interests. The boy and his friend do this monthly, and look forward to each others letters every time.",3,3,4,3,2,3,1.08873,1.00302,49
59,y,"As I woke I morning, I felt a sense of homesickness wash over me. I go to my drawer and reach for my stamps and paper. I began to write to my family back home. I write to them about all the things I have been doing. When I finish, the fold up the letter, put it in a envelope and send it to my house.",2,1,2,3,1,1.8,1.01656,1.0384,66
60,yes,"Following my birthday, I received a letter from my grandmother in the mail.
Here she expressed her deepest concern that she couldnt be there to celebrate my birthday with me. As a way for me to thank her for thinking of me on my special day, I sat down to write her a letter. This time, I stamped the letter and sent it to her address. Sending a letter was something I havent done in a long time. Im use to just seeing the send"" button appear on my phone for text messages.""",3,3,4,4,3,3.4,0.88962,1.11035,92
61,y,"A man was walking down the road, heading to the post office where he planned to send a letter. When he arrived, nobody was there, and stamps were all over the floor. It looked like a hurricane had occurred. So, he grabbed just one stamp, headed home, and mailed the letter from there. ",2,5,5,4,5,4.2,1.16941,1.16911,53
62,y,"I woke up this morning and my dad decided it would be a good idea to give me a taste of what life was really like back in the day. He approached me with a packet of postal stamps and an envelope. It was my grandma's birthday so my siblings and I were asked to write her a letter to express our love and how much she meant to us. After we took turns to write our parts on the letter, my dad and I drove to the post office to drop off the envelope so that they could send it to my grandmas",3,4,3,4,3,3.4,0.89008,1.11077,104
63,yes,"Gretta went stomped down the long hallway, stamping her name on the ground with every step. She was on her way to the principals office to talk about a risky text her friends pressured her to send. The principal was not pleased with the message she sent to a boy in her class and insisted that she write an apology letter.",5,5,5,5,5,5,0.82856,0.829,61
64,chinese,"Tom send a letter to Lily. He would asks her to be his girlfriend. In the stamp, she agrees.",2,1,2,1,1,1.4,1.07374,0.97643,19
65,english,I wanted to send my cousin in college a letter and some money for pizza. I took my letter to the post office and got a stamp and sent it off to her school. She told me a few days later that she got my letter and ate some delicious pizza.,3,2,3,3,2,2.6,0.909,1.11222,51
66,y,"I wrote a letter to my family back home. I struggled to find a store where I could by stamps. Finally, I found a stamp store and was ready to send my letter back home but I had misplaced my letter!",2,1,2,2,2,1.8,0.56008,0.56777,41
67,y,"I wrote a letter to send to my friend.
I have not seen her in 2 years and thought I would reach out.
I went to the post office to get a stamp.
I put the stamp on the envelope with my letter in it and sent my letter in the mail.",2,1,2,2,2,1.8,0.65521,0.89853,49
68,yes,Today is my mom's birthday so I wrote a letter telling her how much she means to me. I drove over to the post office in the freezing cold morning weather. I arrived and purchased a stamp to put onto the envelope that contained the letter. I then put the letter into a pile at the post office so that they could send my mom the letter for her to enjoy on her special day.,2,1,2,4,2,2.2,1.26416,0.92628,75
69,y,"He finished the letter, and put the pen down. With the grace and dignity of someone sending his thousandth letter, he placed the stamp in the top right corner. Solemnly, he walked over to his well worn mailbox, slid the letter in, and raised the flag to let the mailperson know that he had mail to send.",2,3,3,4,2,2.8,0.89201,1.10526,57
70,yes,"Every December a little boy writes a Letter to Santa in hopes of getting everything he wants. He writes it and leaves a list of toys, when he is finished he will send it in the mail to the North Pole. However, he needs a special stamp in order for the letter to reach Santa's work shop. He looks forward to this every year.",4,3,4,5,2,3.6,0.88962,0.89005,64
71,y,"On Saturday, my grandmother finally brought me the stamps I had been asking for. I have been wanting to send something to my cousin in the Navy for weeks. Now, I can write him a letter. I will tell him all about what college is like, and I will ask what the Navy is like.",3,1,2,3,2,2.2,1.11918,1.11842,55
72,y,"The little girl rushed to check the mailbox for the seventh time today. Empty. She heard a noise and turned around toward the sound. The mailman was standing there with a letter in his hand. She quickly grabbed it, reached into her pocket, and slapped a stamp on it. Send it now",4,2,3,3,4,3.2,0.88962,1.11038,52
73,yes,"I have not seen my friend in months, so I decided to send her a letter. I grabbed the paper, took out my favorite pen, and began to write  as fast as I could. I could not find any stamps, so I had to use a Halloween themed sticker. ",3,2,3,3,2,2.6,1.05991,1.04982,50
74,yes,"I wrote a letter to my friend who lives across the country, when I realized that I needed a stamp. In order to send my letter I needed an envelope with a stamp on it. I went to the post office to collect a stamp and envelope so I could send my letter. ",2,2,2,2,1,1.8,1.06232,0.92533,53
75,yes,one day there was a letter that someone wrote but forgot about. The letter sat there e wondering his purpose. He  was sad then he blew away and landed in the trash. He asked another letter what the heck and the other letter said you got to go to the post office to be mailed. to with the help of the wind he went to a post office and was stamped and sent  on his way. Turns out he was a love letter but he got torn up,5,5,5,5,4,4.8,0.8899,1.1106,90
76,yes,I wanted to write a letter to my pen pal. I spent the day telling her about my life. The next day I went to the post office and got a stamp so that I could send her the letter. She wrote back saying that she loved it.,2,1,2,1,2,1.6,1.08549,1.0087,48
77,yes,"I had wrote a love letter to the girl of my dreams. In order to send it I had to run to the post office to get a stamp. Once I got it, I sent it to her and I couldnt wait to hear her reaction too it.",3,1,1,2,2,1.8,1.41442,1.41642,48
79,y,"She had spent her whole life writing this letter. Every little detail she poured her heart into, making sure it was clear and her voice was loud. She stuck in in the envelop, carefully placed the bright red stamp, and sealed it shut. She got in her car, hands trembling, ready to give her life away in this tiny rectangular package. Sending the letter away was sending apart of her away. And send it she did.",4,2,5,3,4,3.6,0.8896,0.8896,76
80,yes,Mary licked the stamp and carefully placed in the top corner of the envelope. She was finally ready to take the walk down to the mailbox and send off what she worked so hard on. Taking that final leap of faith she carefully placed the love letter in the mailbox. All there was left to do was wait.,3,2,3,3,4,3,0.89115,1.00264,58
82,yes,"The young optimistic girl, hidden from the dangers of the world sealed the colorful stamp onto the envelope. Her mother nudged her forward in line, they had to go grocery shopping after this. The glossy eyed girl delicately placed her letter in with the rest of the childrens who seemed to be so sure it was all real. She stepped back out of line with her mother curious as to who would receive her Christmas after it was sent.",4,4,5,3,4,4,1.1104,1.1104,79
83,yes,"My brother, Kj, is in college at Penn State University. Last week he sent me a letter asking if I could send him my famous chocolate chip cookies. Of course being the great sister that I am I baked them right up for him, put a stamp on the package and sent them his way.",4,3,3,4,4,3.6,0.92196,0.92426,55
84,yes,"Tommy, around 10, wrote a letter to send across seas. He wrote about his likes and dislikes of a small boy and stamped it. He pleaded that the opener of this letter write back. After 9 years, he got a stamped letter sent back to him explaining where the letter traveled to and how it survived through the waters after so many years.",4,5,4,3,4,4,0.93957,0.98813,63
85,yes,"The little girl rummaged in the cabinet drawer for a stamp. She exclaimed in delight when she found one, and stuck in on the corner of the envelope she held in her hand. Inside the envelope was a letter addressed to Santa, and she was going to send it to the North Pole so he knew what to bring her for Christmas.",4,3,2,3,3,3,1.11116,0.89939,62
86,yes,"After moving to the US I missed the friends I had left behind. Simply sending them a sext message seemed to flippant to express my feelings. I decided to post them a handwritten letter each.  After arriving at the post office to mail them, I was soon informed that stamps are no longer necessary in the postal system, which I was unaware of as I had never mailed a letter before.",2,3,5,3,4,3.4,0.73813,0.99536,72
87,yes,"I wrote a letter to my friend about how my college experience is going.  After I had finished to decided to go to the post office and send it through them.  Once I got there, I realized I had no stamps left to mark the envelope and had to buy more.  Luckily the post office sells them and I was able to send it that day.",2,2,2,2,2,2,1.10552,0.88892,69
88,y,"My friend sent me a postcard from Venezuela! I have to write back a letter. I would have sent it today, but my dog ate all my stamps. Now I can't send the letter because I have to take my dog to the vet. He ate a lot of stamps...",2,5,5,3,2,3.4,1.11036,0.88976,50
89,yes,I went to send out a letter at the post office. they were all out of stamps and I got mad. how do you not have any stamps? I guess I cant send out the letter today.,2,1,2,2,2,1.8,1.076,1.09114,37
90,n,"Martha collected stamps from her local post office. She wrote a letter to her daughter who lives thousands of miles away. When Martha tried to send her letter, the post man drove past her house. So Martha waited until the next day",2,3,3,3,4,3,1.11087,0.88923,42
91,yes,"It was a nice day for my mom to have her birthday today, but being 300miles apart left me with nothing to give her that day. I quickly ran to the bookstore bought a card and wrote a letter. I took a stamp and sent it out when my mom got the card she loved the present and wrote back a nice big letter.
",4,2,2,2,3,2.6,1.11445,0.89042,64
92,yes,"It had been a while since I had seen my Aunt May.  She was an old school type of person, so I knew that she would appreciate a letter from me.  I thought carefully about every word I wrote to her, but soon enough, I was finished with my letter.  I put a stamp in the top corner and headed to the post office.  I walked in and asked if they could send my letter to my aunt, but they said I didn't have enough stamps.",3,3,4,3,3,3.2,1.20005,0.8992,90
93,yes,"When my father was in the marines, I wanted to send him letters all of the time. The problem was, that I couldn't find stamps. I would beg my mother to take me to the store but, she was always too busy at work. So I had to take an adventure 1.5 miles away to go find one. I was scared because I was only 8 and we lived in a very bad area. But I loved and missed my dad so much. So it was worth it. I got the stamp, sent the letter, and got grounded on the same day.",4,5,5,4,4,4.4,0.8896,1.1104,102
94,yes,"One a late night, John stayed up late finalizing his letter to his brother.  He has not seen him in years after he took this new job, forcing him to move cross country.  Closing out the letter with a heart filled statement, he placed the letter in the envelope and stamped it.  He decided he would send it in the morning and went to bed that night thinking of his brother
",4,3,4,4,2,3.4,0.89818,0.89739,74
95,yes,"I wanted to write my grandmother a letter, to show her all of the advancements in my life. She was a little old woman, who did not have much to do other than find contentment among the success of her children and grandchildren. So, one day, I wrote her an elaborate letter, detailing all the wonderful events taking place in my life; I was going to send the letter but I could not find a stamp anywhere. Once my mother found the stamps, we sealed it and sent it together. ",3,2,4,4,4,3.4,1.16441,0.9659,90
96,y,"I was sitting in my dorm room one day and I really missed seeing my friends from back home. Suddenly I came up with the idea to write each of them a letter. I sat at my desk and wrote each one of them. Once I was finished, I placed a stamp on all of the letters. I placed them into the mailbox to send to them.",2,1,2,3,2,2,0.8896,1.11041,67
97,y,"My professor wants us to write a gratitude letter to someone in our lives who means a lot to us. This person has to be someone outside of our families. He or she has to be either a friend, or coach, or professor. We mush handwrite the letter, put it in an envelope, stamp it, and send it to the person we choose.",3,2,3,3,3,2.8,0.88801,0.89266,63
98,yes,"I am writing a letter that I would like to send to my mother. I went to the post office but they won't let me send it. They say I need a stamp...? No one ever taught me that before college. These are expensive! Sorry mom, I don't think you'll be getting many more of these from me. ",3,1,4,3,4,3,0.88937,0.88921,58
99,yes,On my way to work one morning I ran into my friend going to the Post Office. She was on her way to mail a letter to her family when she realized she forgot a stamp. Luckily I had a stamp in my purse and was more than willing to give it to her. She let me know the next time I saw her that She was able to send the letter with no issues.,2,1,2,4,2,2.2,1.11011,0.88963,75
100,y,"Every Christmas I get more and more excited thinking about Santa and all the presents he would send to my house. I write a pages long list and send it off in a letter addressed to the North Pole. This year however, I was so excited I forgot to put a stamp on it, and my presents never came.",3,3,4,3,5,3.6,1.10843,1.08522,59
101,yes,"I went to the post office near the HUB today to but some stamps. I thought that it would be cute to send a letter to my girlfriend. When we were dating long distance we used to send each other letters all of the time. I want to surprise her with a letter since we don't send them anymore.
",4,2,4,3,4,3.4,1.0139,0.86096,59
102,yes,"As  the man was boarding the train, he thought about the letter he left for his wife. He wasnt sure how to send it, so instead he left it on the table. He poured his heart out in this letter, explaining the reason why he was leaving. so caught up in his emotions he couldnt even pick out a stamp to use. he grew impatient for the response and couldnt focus so much that he missed his stop. 
",4,4,5,3,5,4.2,0.88944,0.88957,80
103,y,"In today's society, technology is so readily available that to contact another, only a click or a button is needed. While this is very beneficial to our society, I still think our education system should teach students how to properly send mail. I have recently come across a situation where I helped a fellow teen address and stamp a letter because he did not know how. Letters use to be the mail form of communication, and now there are a percent of children who do not even know how to write one.",1,5,3,4,4,3.4,1.02177,0.9571,92
104,yes,"He wanted to send her a letter professing his love for her.  He spent hours writing a letter full of his truest emotions.  The night before he sent it, he dreamed he didn't even need to go buy stamps.  Instead, during the night doves would fly into his room and take the letter to her. ",4,4,5,5,4,4.4,0.88913,0.88928,58
105,yes,"Writing that letter aggravated the man. Wallowing time and stamp of an aching hand kept his mind at bay. Relief came only with the sound of the rain and the loss of the radio signal. From there on in, he could hit send. ",4,5,4,4,2,3.8,1.11952,0.94831,43
106,yes,"When I traveled to Europe, I wanted to tell my family about what a great time I was having. I decided to send a letter to them, telling them about all my adventures that I had. My only problem was that I did not have a stamp to send it with. I ran all around the host city looking for a place to find a stamp, but everything was in a different language so it was hard to pick one out. By the time I found one, it was time to fly home, so I did not send the letter to my family.",3,4,5,3,3,3.6,0.8896,1.1102,103
107,yes,The little boy decided to send Santa Clause a letter. He wrote his Christmas list and was excited to pick out a stamp to send it all the way to the North Pole. His parents helped him fid Santa's address so he could send out the letter and tell all of his friends at school about his exciting letter.,4,2,3,4,2,3,0.83154,1.16893,59
108,yes,"Mary's husband is in the army. He was sent to Hawaii to attend bootcamp. She knew that she had pictures she wanted to send to him, so she went to the post office to buy a stamp. Along with the pictures, Mary included a love letter to keep her husbands spirits high. ",3,3,2,4,4,3.2,0.89028,1.10925,52
109,yes,"I planned on writing a letter to my mom. I went to the post office to send it. I realized I forgot  a stamp. So, I went out and bought one",1,1,1,1,1,1,1.10071,0.8848,32
110,yes,"on this cold december day timmy only had one thing on his mind. he raced around the house looking for a piece of paper big enough to write his letter. he wrote a novels worth of toys he wanted. He sealed the letter and was all ready to send it to the north pole. He rushed out of his house with his jacket only half on and barely up his arm. But he didn't care, he only had one mission. He ran to the mail box and jumped up to open it and throw his letter in when he realized he forgot a stamp.",4,4,5,3,4,4,0.8896,1.1104,104
111,y,"Every year a little girl in a blue dress started reflecting on her year. She knew the holidays were coming, so it was time to send letters to her family. She wrote a personal message for each of her family members before the letters were sent. She walked all the way to the post office to make sure she had the cutest stamps they had to offer. She hoped that her little notes would help bring her family together in this time of joy.",4,4,4,3,3,3.6,1.11451,0.88632,84
112,y,"A few weeks ago my grandma sent a letter to me in the mail. I was ready to pick it up and reply to her but I realized I did no have a stamp so I could not send it. I also realized I forgot my combination for my mailbox, so I can't even see the letter that she sent me. Because of things like this, I usually text or call people.",2,1,4,3,2,2.4,1.11041,1.1104,72
113,yes,"late october I decided to send a letter to my mom from school. However, I did not know where to buy stamps from in Penn State. I had to look everywhere and finally found them in my apartment. I was so delighted and my mom enjoyed receiving mail from me while I was away at school. ",2,1,2,3,3,2.2,0.88957,0.88952,56
114,y,"I took the wax and placed it in the spoon, holding the match underneath it. Carefully, I poured it onto the letter, being careful to make it as neat as possible. Quickly and firmly, I pressed the stamp into the wax, creating the official seal, ensuring that the person I send it to knows if it has been opened. The wax sealing process is as intricate and as old as the act of sending letters, and it is my duty as the King's dispatch to carry on that legacy.",5,5,5,5,5,5,1.06386,1.00986,89
115,yes,"this christmas, i would like to send my wish list to santa. i will write him a letter and explain what i want and why. i will then go to the post office to put my list in an envelope. using a stamp, i will send the letter to the north pole",3,2,3,3,2,2.6,0.8577,0.75488,52
